dma_code,dma_name,period_start,period_end,search_interest,scaled_search_interest,is_partial
800,Bakersfield,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,10000,43,False
800,Bakersfield,2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,6900,29,False
800,Bakersfield,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,8000,33,False
800,Bakersfield,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,8200,34,False
800,Bakersfield,2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,9200,38,False
800,Bakersfield,2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,8400,35,False
800,Bakersfield,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,8400,35,False
800,Bakersfield,2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,11000,45,False
800,Bakersfield,2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,12000,49,False
800,Bakersfield,2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,7100,29,False
800,Bakersfield,2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,8200,34,False
800,Bakersfield,2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,8500,35,False
800,Bakersfield,2025-01-01T00:00:00Z,2025-02-01T00:00:00Z,12000,49,False
800,Bakersfield,2025-02-01T00:00:00Z,2025-03-01T00:00:00Z,5900,25,False
800,Bakersfield,2025-03-01T00:00:00Z,2025-04-01T00:00:00Z,11000,44,False
800,Bakersfield,2025-04-01T00:00:00Z,2025-05-01T00:00:00Z,11000,44,False
800,Bakersfield,2025-05-01T00:00:00Z,2025-06-01T00:00:00Z,9500,39,False
800,Bakersfield,2025-06-01T00:00:00Z,2025-07-01T00:00:00Z,9200,38,False
800,Bakersfield,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,13000,54,False
800,Bakersfield,2025-08-01T00:00:00Z,2025-09-01T00:00:00Z,10000,42,False
800,Bakersfield,2025-09-01T00:00:00Z,2025-10-01T00:00:00Z,8500,35,False
800,Bakersfield,2025-10-01T00:00:00Z,2025-11-01T00:00:00Z,16000,68,False
800,Bakersfield,2025-11-01T00:00:00Z,2025-12-01T00:00:00Z,24000,100,False
800,Bakersfield,2025-12-01T00:00:00Z,2026-01-01T00:00:00Z,11000,46,False
800,Bakersfield,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,8200,34,False
800,Bakersfield,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,13000,52,False
800,Bakersfield,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,10000,43,False
800,Bakersfield,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,12000,49,False
800,Bakersfield,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,8500,35,False
800,Bakersfield,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,5100,21,True
803,Los Angeles,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,7300,29,False
803,Los Angeles,2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,7100,29,False
803,Los Angeles,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,6700,27,False
803,Los Angeles,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,6800,28,False
803,Los Angeles,2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,6800,28,False
803,Los Angeles,2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,7400,30,False
803,Los Angeles,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,7000,28,False
803,Los Angeles,2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,7000,28,False
803,Los Angeles,2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,7200,29,False
803,Los Angeles,2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,8100,33,False
803,Los Angeles,2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,8800,35,False
803,Los Angeles,2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,7500,30,False
803,Los Angeles,2025-01-01T00:00:00Z,2025-02-01T00:00:00Z,9500,38,False
803,Los Angeles,2025-02-01T00:00:00Z,2025-03-01T00:00:00Z,7200,29,False
803,Los Angeles,2025-03-01T00:00:00Z,2025-04-01T00:00:00Z,7500,30,False
803,Los Angeles,2025-04-01T00:00:00Z,2025-05-01T00:00:00Z,7700,31,False
803,Los Angeles,2025-05-01T00:00:00Z,2025-06-01T00:00:00Z,7100,29,False
803,Los Angeles,2025-06-01T00:00:00Z,2025-07-01T00:00:00Z,7600,31,False
803,Los Angeles,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,11000,45,False
803,Los Angeles,2025-08-01T00:00:00Z,2025-09-01T00:00:00Z,8500,34,False
803,Los Angeles,2025-09-01T00:00:00Z,2025-10-01T00:00:00Z,9000,36,False
803,Los Angeles,2025-10-01T00:00:00Z,2025-11-01T00:00:00Z,17000,68,False
803,Los Angeles,2025-11-01T00:00:00Z,2025-12-01T00:00:00Z,25000,100,False
803,Los Angeles,2025-12-01T00:00:00Z,2026-01-01T00:00:00Z,16000,65,False
803,Los Angeles,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,14000,57,False
803,Los Angeles,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,16000,63,False
803,Los Angeles,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,18000,71,False
803,Los Angeles,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,21000,85,False
803,Los Angeles,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,21000,86,False
803,Los Angeles,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,15000,61,True
807,San Francisco-Oakland-San Jose,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,15000,39,False
807,San Francisco-Oakland-San Jose,2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,14000,37,False
807,San Francisco-Oakland-San Jose,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,15000,39,False
807,San Francisco-Oakland-San Jose,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,14000,37,False
807,San Francisco-Oakland-San Jose,2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,14000,36,False
